# SNID zHelio x0 x1 c
1 0.051562  0.0004918466490081245 -0.0785 0.4
463 0.222567  2.086123528660769e-05 0.0438 0.4
464 0.183330  3.157844049552884e-05 -0.1149 0.4
465 0.176412  3.826548369326578e-05 0.7106 0.4
466 0.121346  6.209865153107761e-05 -1.9127 0.4
467 0.181418  3.324493744171704e-05 0.1026 0.4
468 0.248498  1.5159117518461627e-05 -0.4943 0.4
469 0.211864  2.472763297458201e-05 0.5007 0.4
470 0.136364  5.7689492086179106e-05 -0.5094 0.4
471 0.179415  3.293690454806035e-05 -0.1611 0.4
472 0.176432  3.632448654817339e-05 0.3088 0.4
473 0.199439  2.6002655205287536e-05 -0.162 0.4
474 0.185423  3.3938206409972216e-05 0.6402 0.4
475 0.243492  1.765847302268867e-05 0.3301 0.4
476 0.204445  2.775649312385435e-05 0.7755 0.4
477 0.171406  3.440298515584408e-05 -0.6103 0.4
478 0.200441  3.245808886019907e-05 1.6448 0.4
479 0.125351  6.260710076313878e-05 -1.3012 0.4
480 0.205447  2.4634053361319217e-05 -0.065 0.4
481 0.130126  6.668405258095438e-05 -0.1794 0.4
482 0.147377  6.589954348976797e-05 1.8437 0.4
483 0.198388  2.9908044398788017e-05 0.8314 0.4
484 0.196436  3.239726211157826e-05 1.2797 0.4
485 0.151382  4.738481700572477e-05 -0.2567 0.4
486 0.158390  4.96993527737578e-05 0.8869 0.4
487 0.098318  0.00010986246597051667 -1.0213 0.4
488 0.120425  9.006257946433114e-05 0.842 0.4
489 0.151983  4.9088745797218085e-05 0.0849 0.4
490 0.154385  4.887507234693472e-05 0.3191 0.4
491 0.196336  2.815420648022121e-05 0.1821 0.4
492 0.149379  4.514046594763883e-05 -0.8604 0.4
493 0.181918  3.810717818082956e-05 1.2088 0.4
494 0.194433  2.6065821444239922e-05 -0.5846 0.4
495 0.119473  7.157514703415624e-05 -1.0734 0.4
496 0.145074  5.209499087328525e-05 -0.2476 0.4
497 0.162886  3.8596131660127646e-05 -0.5944 0.4
498 0.125551  8.193674971267879e-05 0.8128 0.4
499 0.127954  5.2309444153679144e-05 -2.3473 0.4
500 0.145084  5.785559589972057e-05 0.567 0.4
501 0.176412  3.513992461028856e-05 0.0498 0.4
502 0.167001  4.789092674745436e-05 1.5073 0.4
503 0.162495  4.0243132853552765e-05 -0.3114 0.4
504 0.246596  1.8712023502005592e-05 1.003 0.4
505 0.231878  2.1219177307337867e-05 0.8945 0.4
506 0.087725  0.00012658982184124057 -1.8226 0.4
507 0.064097  0.00023625733028412646 -2.1811 0.4
508 0.144043  5.235779362053158e-05 -0.33 0.4
509 0.163296  4.114773578175974e-05 -0.0547 0.4
510 0.118342  8.014314045847529e-05 -0.3572 0.4
511 0.221166  1.496415999083081e-05 -2.6433 0.4
512 0.122347  8.057984532036833e-05 0.2468 0.4
513 0.157489  4.724132826538849e-05 0.3959 0.4
514 0.180917  2.7673831132138882e-05 -1.3674 0.4
515 0.132159  4.828396112315808e-05 -2.4208 0.4
516 0.188426  3.142949294441889e-05 0.3227 0.4
517 0.068352  0.00028617425565872026 0.3665 0.4
518 0.192231  2.7326026902845507e-05 -0.4161 0.4
519 0.125841  6.701392071770571e-05 -0.7076 0.4
520 0.185423  2.9415191768937317e-05 -0.4691 0.4
521 0.058691  0.0003446225224424385 -0.7059 0.4
522 0.214457  2.386358121212224e-05 0.4373 0.4
523 0.182419  3.17180300853125e-05 -0.1668 0.4
524 0.111934  8.636618474045089e-05 -0.7135 0.4
525 0.205146  2.6315367079607367e-05 0.4215 0.4
526 0.217461  2.0854996645723507e-05 -0.3648 0.4
527 0.220465  2.40265657052216e-05 0.9731 0.4
528 0.192832  3.090466728003674e-05 0.5924 0.4
529 0.213857  2.1468722942705312e-05 -0.4317 0.4
530 0.186123  2.9419870749600456e-05 -0.4026 0.4
531 0.119143  8.658453717139741e-05 0.3562 0.4
532 0.146676  5.226889298793194e-05 -0.0347 0.4
533 0.219864  1.8004717591760995e-05 -1.3122 0.4
534 0.047147  0.0005692135942731369 -0.4175 0.4
535 0.077293  0.00019354603513076758 -0.6324 0.4
536 0.039337  0.0007949588146674098 -0.803 0.4
537 0.066610  0.00026461195310275215 -0.6673 0.4
538 0.131117  7.404486899418341e-05 0.7611 0.4
539 0.091510  0.00013406839260115863 -0.6744 0.4
540 0.155387  4.117658949584911e-05 -0.8996 0.4
541 0.168352  3.4746890234584837e-05 -0.8424 0.4
542 0.173408  5.543578306676689e-05 3.2894 0.4
543 0.173078  3.956078150684491e-05 0.6401 0.4
544 0.123048  7.391463736572603e-05 -0.3267 0.4
545 0.082299  0.00018719821803110824 0.1498 0.4
546 0.148548  7.912156301368982e-05 3.3972 0.4
547 0.083961  0.00018340044539285998 0.3231 0.4
548 0.226472  2.1718268578072754e-05 0.6608 0.4
549 0.105327  0.00010796747880194517 -0.0035 0.4
550 0.122347  7.992478802752879e-05 0.1829 0.4
551 0.199970  2.340426127702404e-05 -0.9324 0.4
552 0.105997  0.00010562019016927015 -0.0675 0.4
553 0.208450  2.2515254951027524e-05 -0.5097 0.4
554 0.202443  2.7483552585171208e-05 0.5276 0.4
555 0.159021  4.0247811834215903e-05 -0.6808 0.4
556 0.164397  4.734192634964599e-05 1.1482 0.4
557 0.238857  1.857789272299559e-05 0.3851 0.4
558 0.229476  1.8439862793432976e-05 -0.3771 0.4
559 0.211454  2.1136515315622404e-05 -0.75 0.4
560 0.120435  6.914285691943421e-05 -1.2064 0.4
561 0.222467  2.1680056902657115e-05 0.3344 0.4
562 0.151782  5.043239307764967e-05 0.2718 0.4
563 0.146376  5.2874820983808506e-05 0.0198 0.4
564 0.249199  1.6790522109676284e-05 0.3481 0.4
565 0.122347  8.022112346952761e-05 0.2119 0.4
566 0.217862  2.2728928401310897e-05 0.3348 0.4
567 0.147377  5.163099195752391e-05 -0.0487 0.4
568 0.134361  6.0901612311424415e-05 -0.3402 0.4
569 0.212956  2.240607873555427e-05 -0.1742 0.4
570 0.206848  2.6206190864134108e-05 0.5332 0.4
571 0.046646  0.0005022729775858205 -1.5631 0.4
572 0.182489  2.7404009913897835e-05 -1.294 0.4
573 0.215459  1.8328347087628148e-05 -1.5279 0.4
574 0.176312  3.3346315356085066e-05 -0.3663 0.4
575 0.145375  5.5549638262903284e-05 0.2855 0.4
576 0.180417  3.371361533814152e-05 0.1157 0.4
577 0.180417  3.912719596539398e-05 1.2706 0.4
578 0.108550  7.514520928013173e-05 -2.3086 0.4
579 0.226172  2.274374517341084e-05 0.9954 0.4
580 0.120345  8.638957964376661e-05 0.5082 0.4
581 0.178514  3.1137056652972674e-05 -0.6839 0.4
582 0.185423  3.2165652568752854e-05 0.2241 0.4
583 0.199720  2.074114144958711e-05 -1.891 0.4
584 0.155687  6.624344856850872e-05 2.8208 0.4
585 0.251041  1.640528603507779e-05 0.2983 0.4
586 0.140569  6.50854008543817e-05 0.9421 0.4
587 0.209952  2.644637853817527e-05 0.8636 0.4
588 0.217461  2.1559963065636535e-05 -0.1068 0.4
589 0.249500  1.5314303710455754e-05 -0.3443 0.4
590 0.200871  2.5194751210785444e-05 -0.2824 0.4
591 0.225471  1.9225151714729897e-05 -0.3624 0.4
592 0.137665  5.8743822395606553e-05 -0.2076 0.4
593 0.213456  1.9992504543484782e-05 -1.0171 0.4
594 0.249500  1.6390469262977852e-05 0.1825 0.4
595 0.179415  4.2763543770763935e-05 1.8637 0.4
596 0.233480  1.7978983198113727e-05 -0.2695 0.4
597 0.186794  3.200890671653768e-05 0.3138 0.4
598 0.161284  3.489115880503164e-05 -1.5464 0.4
599 0.222567  2.2828746655457876e-05 0.7428 0.4
600 0.183330  3.170321331321256e-05 -0.0844 0.4
601 0.176412  2.736969738903481e-05 -1.8882 0.4
602 0.121346  6.541994797179617e-05 -1.5085 0.4
603 0.181418  3.6129529020542575e-05 0.7479 0.4
604 0.248498  1.9143269553124954e-05 1.3155 0.4
605 0.211864  2.320618442895113e-05 0.0081 0.4
606 0.136364  4.610121664380349e-05 -2.2484 0.4
607 0.179415  3.1857619675096165e-05 -0.4195 0.4
608 0.176432  3.3896875414114485e-05 -0.2275 0.4
609 0.199439  2.977469344988854e-05 0.8885 0.4
610 0.185423  3.0058551610119004e-05 -0.3014 0.4
611 0.243492  1.850068954205379e-05 0.6914 0.4
651 0.409692  5.014229627653501e-06 -0.0785 0.4
652 0.506108  2.590283695114056e-06 -1.2986 0.4
653 0.583901  2.179859107945665e-06 0.034 0.4
654 0.497798  3.2151615626763434e-06 0.0697 0.4
655 0.576892  2.2977694206567816e-06 0.216 0.4
656 0.348619  9.935035608066316e-06 2.2828 0.4
657 0.681017  1.580091769942227e-06 0.4353 0.4
658 0.333600  7.44737755549712e-06 -0.7484 0.4
659 0.561874  3.2153955117095e-06 2.3279 0.4
660 0.533841  2.666083181856917e-06 -0.0812 0.4
661 0.450741  3.989532862425939e-06 -0.0952 0.4
662 0.372547  6.858059940974694e-06 0.614 0.4
663 0.292751  1.4262312891359879e-05 1.9443 0.4
664 0.245194  1.2990409981096441e-05 -1.9277 0.4
665 0.356928  6.290499586535866e-06 -0.8343 0.4
666 0.464458  4.251867711605963e-06 0.9524 0.4
667 0.462455  3.971830718917061e-06 0.3441 0.4
668 0.286544  1.0643901178531958e-05 -0.7078 0.4
669 0.635963  1.5230082058519244e-06 -1.1418 0.4
670 0.469764  3.567488806610751e-06 -0.1985 0.4
671 0.271526  1.2602834416166383e-05 -0.3568 0.4
672 0.628955  1.509283195906715e-06 -1.4204 0.4
673 0.611934  1.97616748307699e-06 0.1535 0.4
674 0.581898  2.3493941739734215e-06 0.5502 0.4
675 0.593913  2.365302708228096e-06 0.9859 0.4
676 0.572888  3.022465542366046e-06 2.2114 0.4
677 0.558871  2.284824240822096e-06 -0.4222 0.4
678 0.527834  2.351421732260782e-06 -1.2664 0.4
679 0.212455  2.7263640494003646e-05 1.3066 0.4
680 0.370645  6.671290629504373e-06 0.3066 0.4
681 0.561874  2.6952488279904867e-06 0.9593 0.4
682 0.586103  2.112793718440665e-06 -0.1378 0.4
683 0.586904  1.8746336026868615e-06 -1.0397 0.4
684 0.591910  2.23031411609652e-06 0.467 0.4
685 0.917301  7.770851085342168e-07 0.5911 0.4
686 0.772127  1.1672497094312137e-06 0.466 0.4
687 0.516820  2.8055168056184754e-06 -0.2898 0.4
688 0.737085  1.4170292938318133e-06 1.0883 0.4
689 0.640969  1.722254799090617e-06 -0.0402 0.4
690 0.769123  1.2931142892696676e-06 1.1859 0.4
691 0.437725  5.0762261214401e-06 1.2328 0.4
692 0.586904  2.4119365488373867e-06 0.9148 0.4
693 0.704045  1.3852902083335168e-06 0.0438 0.4
694 0.665399  1.5574766967370524e-06 -0.1149 0.4
695 0.349620  8.057204701926309e-06 0.7106 0.4
696 0.621947  1.887422816499443e-06 0.1026 0.4
697 0.221466  1.9682132159496524e-05 -0.4943 0.4
698 0.370645  5.8974652108321435e-06 -0.6494 0.4
699 0.416700  4.7654638223965815e-06 -0.162 0.4
700 0.358631  7.523566957295243e-06 0.6402 0.4
701 0.451742  4.192288691161986e-06 0.3301 0.4
702 0.522828  3.1305499956845696e-06 0.7755 0.4
703 0.702043  1.7147684300295933e-06 1.6448 0.4
704 0.349620  7.184028927173416e-06 -0.1794 0.4
705 0.591910  2.6635877255032422e-06 1.8437 0.4
706 0.514818  3.272245126766646e-06 0.8314 0.4
707 0.621947  1.801953436386094e-06 -0.2567 0.4
708 0.471766  4.0385061933667994e-06 0.842 0.4
801 0.409692  5.014229627653501e-06 -0.0785 0.4
802 0.506108  2.590283695114056e-06 -1.2986 0.4
803 0.583901  2.179859107945665e-06 0.034 0.4
804 0.497798  3.2151615626763434e-06 0.0697 0.4
805 0.576892  2.2977694206567816e-06 0.216 0.4
806 0.348619  9.935035608066316e-06 2.2828 0.4
807 0.681017  1.580091769942227e-06 0.4353 0.4
808 0.333600  7.44737755549712e-06 -0.7484 0.4
809 0.561874  3.2153955117095e-06 2.3279 0.4
810 0.533841  2.666083181856917e-06 -0.0812 0.4
811 0.450741  3.989532862425939e-06 -0.0952 0.4
812 0.372547  6.858059940974694e-06 0.614 0.4
813 0.292751  1.4262312891359879e-05 1.9443 0.4
814 0.245194  1.2990409981096441e-05 -1.9277 0.4
815 0.356928  6.290499586535866e-06 -0.8343 0.4
816 0.464458  4.251867711605963e-06 0.9524 0.4
817 0.462455  3.971830718917061e-06 0.3441 0.4
818 0.286544  1.0643901178531958e-05 -0.7078 0.4
819 0.635963  1.5230082058519244e-06 -1.1418 0.4
820 0.469764  3.567488806610751e-06 -0.1985 0.4
821 0.271526  1.2602834416166383e-05 -0.3568 0.4
822 0.628955  1.509283195906715e-06 -1.4204 0.4
823 0.611934  1.97616748307699e-06 0.1535 0.4
824 0.581898  2.3493941739734215e-06 0.5502 0.4
825 0.593913  2.365302708228096e-06 0.9859 0.4
826 0.572888  3.022465542366046e-06 2.2114 0.4
827 0.558871  2.284824240822096e-06 -0.4222 0.4
828 0.527834  2.351421732260782e-06 -1.2664 0.4
829 0.212455  2.7263640494003646e-05 1.3066 0.4
830 0.370645  6.671290629504373e-06 0.3066 0.4
831 0.561874  2.6952488279904867e-06 0.9593 0.4
832 0.586103  2.112793718440665e-06 -0.1378 0.4
833 0.586904  1.8746336026868615e-06 -1.0397 0.4
834 0.591910  2.23031411609652e-06 0.467 0.4
835 0.917301  7.770851085342168e-07 0.5911 0.4
836 0.772127  1.1672497094312137e-06 0.466 0.4
837 0.516820  2.8055168056184754e-06 -0.2898 0.4
838 0.737085  1.4170292938318133e-06 1.0883 0.4
839 0.640969  1.722254799090617e-06 -0.0402 0.4
840 0.769123  1.2931142892696676e-06 1.1859 0.4
841 0.437725  5.0762261214401e-06 1.2328 0.4
842 0.586904  2.4119365488373867e-06 0.9148 0.4
843 0.704045  1.3852902083335168e-06 0.0438 0.4
844 0.665399  1.5574766967370524e-06 -0.1149 0.4
845 0.349620  8.057204701926309e-06 0.7106 0.4
846 0.621947  1.887422816499443e-06 0.1026 0.4
847 0.221466  1.9682132159496524e-05 -0.4943 0.4
848 0.370645  5.8974652108321435e-06 -0.6494 0.4
849 0.416700  4.7654638223965815e-06 -0.162 0.4
850 0.358631  7.523566957295243e-06 0.6402 0.4
851 0.451742  4.192288691161986e-06 0.3301 0.4
852 0.522828  3.1305499956845696e-06 0.7755 0.4
853 0.702043  1.7147684300295933e-06 1.6448 0.4
854 0.349620  7.184028927173416e-06 -0.1794 0.4
