# SN x0 x1 c t0 tpkoff SIM_x0 SIM_x1 SIM_c SIM_t0 SALT2_x0 SALT2_x1 SALT2_c SALT2_t0
86 3.7391182863e-02 -1.4399270896 -0.2084706768 54045.2773440000 0.0000000000 5.0295000000e-02 -1.4382000000 -0.2393000000 54045.28 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
87 8.4630097907e-03 0.6177115599 -0.0187593439 54054.2382810000 0.0000000000 1.0211000000e-02 0.4598000000 0.0106000000 54054.24 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
88 3.0168731658e-03 0.5964655524 0.1537693602 54083.1054690000 0.0000000000 3.5814000000e-03 0.5076000000 0.1797000000 54083.11 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
89 3.8346721788e-03 0.8814734671 0.0240110579 53770.1171880000 0.0000000000 5.1426000000e-03 0.9176000000 0.0336000000 53770.12 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
90 6.4821150036e-03 -1.0899721372 -0.0358140374 54092.7617190000 0.0000000000 8.1309000000e-03 -1.2875000000 -0.0228000000 54092.76 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
91 1.5525488684e-02 -0.1876983449 -0.0064378665 54174.5664060000 0.0000000000 1.9333000000e-02 -0.2960000000 0.0353000000 54174.57 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
92 3.7105043755e-03 -2.9778593586 0.1827959296 54184.3398440000 0.0000000000 4.7788000000e-03 -2.9985000000 0.2002000000 54184.34 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
93 9.1914342188e-03 -1.0530177319 -0.0434659236 54200.2304690000 0.0000000000 1.0921000000e-02 -1.0835000000 -0.0103000000 54200.23 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
94 4.4363484832e-03 -1.2614124685 -0.0968174341 54206.5468750000 0.0000000000 5.3399000000e-03 -1.4082000000 -0.0599000000 54206.55 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
95 1.0942092206e-02 0.5366029530 0.2673845118 54227.8437500000 0.0000000000 1.4533000000e-02 0.5696000000 0.2411000000 54227.84 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
96 8.1199347593e-03 -2.7071072833 -0.0396720496 54246.6953120000 0.0000000000 9.8952000000e-03 -2.8275000000 0.0423000000 54246.70 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
97 4.6218589028e-03 0.2101609500 0.0289457912 54265.1835940000 0.0000000000 5.7474000000e-03 0.1133000000 0.0833000000 54265.18 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
98 6.4851369318e-03 -0.4129224403 -0.0977341403 54281.0078120000 0.0000000000 7.9332000000e-03 -0.4267000000 -0.0257000000 54281.01 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
99 8.1361355178e-03 0.5451500211 0.0428030986 54124.0000000000 0.0000000000 1.1521000000e-02 0.6381000000 -0.0411000000 54124.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
100 7.3627682173e-03 0.7305932075 0.0066179986 54429.7851560000 0.0000000000 9.1996000000e-03 0.7265000000 0.0295000000 54429.79 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
101 8.7093365850e-03 0.6613624371 -0.0286891867 54554.9843750000 0.0000000000 1.1018000000e-02 0.6167000000 -0.0396000000 54554.98 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
151 8.6277450745e-03 0.6068218220 0.2078748756 50549.9687500000 0.0000000000 1.1335000000e-02 0.8519000000 0.1544000000 50549.97 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
152 3.4707282297e-02 0.5067021679 0.0715187265 50766.4687500000 0.0000000000 4.5315000000e-02 0.5336000000 0.0743000000 50766.47 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
153 1.6377742973e-02 -1.7899653578 0.0297752512 50467.9804690000 0.0000000000 2.1460000000e-02 -1.7129000000 0.0289000000 50467.98 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
154 4.2082659293e-03 -0.1460448210 0.1359438841 50914.3085940000 0.0000000000 5.3863000000e-03 -0.1510000000 0.0897000000 50914.31 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
155 3.6753652630e-02 1.2772819581 0.0702061305 51143.1250000000 0.0000000000 4.7335000000e-02 1.3084000000 0.0633000000 51143.12 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
156 2.8913600525e-02 1.1714389360 -0.0514357687 51232.7226560000 0.0000000000 3.6333000000e-02 1.1938000000 -0.0698000000 51232.72 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
157 8.9771007586e-03 -0.0603027475 0.0400879468 51250.5937500000 0.0000000000 1.1637000000e-02 -0.0347000000 0.0604000000 51250.59 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
158 3.1689779846e-03 -1.6196181740 0.0320440984 51315.4335940000 0.0000000000 4.3166000000e-03 -1.6715000000 -0.0044000000 51315.43 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
159 1.8498605509e-02 0.9708968118 0.0197907434 51436.2617190000 0.0000000000 2.4066000000e-02 0.9836000000 0.0704000000 51436.26 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
160 8.2546470563e-03 -0.7887503241 0.1544055841 51482.1835940000 0.0000000000 1.0835000000e-02 -0.7689000000 0.1283000000 51482.18 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
161 7.0116815051e-03 1.5082490010 0.0091198135 51550.8554690000 0.0000000000 8.7273000000e-03 1.5108000000 0.0058000000 51550.86 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
162 4.2504053913e-03 -1.9721507453 0.0340294367 51707.4843750000 0.0000000000 5.4966000000e-03 -2.2765000000 0.0894000000 51707.48 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
163 1.0590818744e-02 -2.2027644413 -0.0183913497 51812.3789060000 0.0000000000 1.4167000000e-02 -2.1692000000 -0.0256000000 51812.38 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
251 1.1772449572e-02 -0.0950767183 -0.0834568658 44672.5781250000 0.0000000000 1.7149000000e-02 -0.4436000000 0.0452000000 44672.58 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
252 8.9282768252e-03 1.3769437345 0.2358871202 44679.9296880000 0.0000000000 1.1754000000e-02 -0.9642000000 0.1611000000 44679.93 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
253 8.4395091968e-03 -1.5889664168 0.3311082867 47565.1406250000 0.0000000000 1.0464000000e-02 -0.8641000000 0.3793000000 47565.14 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
254 2.3560953030e-02 0.7512671715 0.0920458373 48082.5976560000 0.0000000000 3.0112000000e-02 0.7779000000 0.0301000000 48082.60 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
255 1.4111234829e-02 0.7202845654 0.0602437980 48375.0429690000 0.0000000000 1.7485000000e-02 0.7403000000 0.0932000000 48375.04 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
256 1.3930685634e-02 -1.6621628914 -0.0272279355 48640.4023440000 0.0000000000 1.7312000000e-02 -1.6103000000 -0.0209000000 48640.40 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
257 3.3351566331e-02 -1.7574171891 -0.1405369648 49432.1601560000 0.0000000000 4.2029000000e-02 -1.6565000000 -0.0879000000 49432.16 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
258 2.9540212052e-03 0.1414201394 0.0483109426 50376.5078120000 0.0000000000 4.0653000000e-03 0.0843000000 -0.0038000000 50376.51 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
259 8.1536135326e-03 -0.9436740283 -0.0099551005 50558.0273440000 0.0000000000 1.0537000000e-02 -0.8250000000 0.0628000000 50558.03 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
260 2.7263948256e-02 -0.3191243891 -0.0791721278 50930.9335940000 0.0000000000 3.4308000000e-02 -0.2705000000 -0.0786000000 50930.93 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
261 1.0150615382e-02 -0.4194054455 0.3010565062 50952.5742190000 0.0000000000 1.2905000000e-02 -0.3946000000 0.2959000000 50952.57 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
262 8.9996314215e-03 -0.6525963975 0.0120370067 51029.7031250000 0.0000000000 1.1376000000e-02 -0.6402000000 0.0621000000 51029.70 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
264 4.8112025274e-03 2.3356443235 -0.0690582456 51254.3632810000 0.0000000000 6.1630000000e-03 2.2790000000 -0.0893000000 51254.36 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
265 8.4736734218e-04 0.1978399696 -0.0849369239 51264.1093750000 0.0000000000 1.0650000000e-03 0.4896000000 -0.0691000000 51264.11 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
266 1.4084206753e-02 0.9930552003 -0.1019935697 51363.4101560000 0.0000000000 1.8221000000e-02 0.3106000000 -0.0803000000 51363.41 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
267 1.8553741707e-02 0.3092177288 0.0075462129 51414.7421880000 0.0000000000 2.4213000000e-02 0.3372000000 0.0086000000 51414.74 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
268 1.8275039200e-02 0.6623318501 0.1715387620 51469.6835940000 0.0000000000 2.3141000000e-02 0.6835000000 0.2311000000 51469.68 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
269 1.3954678108e-02 0.3301638652 0.1282882832 51577.0351560000 0.0000000000 1.8337000000e-02 0.3421000000 0.1162000000 51577.04 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
270 6.6221433525e-03 0.1072799097 -0.0968868570 52034.3046880000 0.0000000000 8.5578000000e-03 0.1500000000 -0.1168000000 52034.30 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
271 1.0846203999e-02 -0.9538429826 0.1805625237 52064.0898440000 0.0000000000 1.4022000000e-02 -0.8530000000 0.1615000000 52064.09 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
272 1.4939947633e-02 0.1304521272 0.0260874764 52103.8242190000 0.0000000000 1.9792000000e-02 0.2286000000 0.0547000000 52103.82 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
273 1.4412263024e-02 -0.1437166375 0.0891437605 52182.6054690000 0.0000000000 1.7643000000e-02 -0.1743000000 0.1484000000 52182.61 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
274 7.6714201694e-03 -0.9722204491 0.1134451349 52524.6992190000 0.0000000000 9.9261000000e-03 -0.8677000000 0.1132000000 52524.70 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
275 1.1562259007e-02 -1.3112070506 0.1083716618 53278.5664060000 0.0000000000 1.5549000000e-02 -1.2020000000 0.0600000000 53278.57 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
276 8.3707925168e-03 -2.1390657141 -0.0401729768 54040.8125000000 0.0000000000 1.1500000000e-02 -2.0913000000 -0.0911000000 54040.81 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
351 2.2240217961e-02 0.4301677043 0.0448477605 49685.4140620000 0.0000000000 3.1132000000e-02 0.4697000000 -0.0400000000 49685.41 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
352 2.2557639928e-02 0.3361098028 -0.0606251153 49518.1171880000 0.0000000000 2.9427000000e-02 0.3958000000 -0.0674000000 49518.12 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
353 1.6418622627e-03 0.5171011852 0.0384762150 49993.0234380000 0.0000000000 2.1916000000e-03 0.5690000000 -0.0012000000 49993.02 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
354 1.6855853528e-02 0.8228911101 0.1190438599 50029.0625000000 0.0000000000 2.1927000000e-02 0.8316000000 0.0572000000 50029.06 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
355 1.1077443064e-02 0.7091249116 0.2210716694 50086.3789060000 0.0000000000 1.4144000000e-02 0.7572000000 0.2331000000 50086.38 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
356 1.9366770296e-02 1.0076028058 -0.0067206709 49768.2812500000 0.0000000000 2.4984000000e-02 1.0144000000 -0.0438000000 49768.28 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
357 5.1095211989e-03 -0.5969593536 0.2828060912 50387.1718750000 0.0000000000 6.5040000000e-03 -0.5922000000 0.3244000000 50387.17 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
358 1.3728010499e-02 -0.9903614200 -0.0138684491 50191.1367190000 0.0000000000 1.8415000000e-02 -0.9484000000 -0.0396000000 50191.14 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
401 7.5822053519e-04 -1.2650977735 0.0338466475 53693.6484380000 0.0000000000 1.0077000000e-03 -1.1803000000 -0.0044000000 53693.65 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
402 1.3535124906e-04 -2.7552624833 0.0139844489 53626.5703120000 0.0000000000 1.6728000000e-04 -2.5217000000 0.0534000000 53626.57 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
403 3.7181019773e-04 -0.8004962253 0.0487898952 53635.3867190000 0.0000000000 4.7128000000e-04 -0.5572000000 0.0521000000 53635.39 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
404 9.5569723317e-05 -0.7440338664 0.0882541341 53982.0976560000 0.0000000000 1.2237000000e-04 -1.0208000000 0.0381000000 53982.10 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
405 7.4868760419e-05 -1.9011271229 0.0451262688 53996.1054690000 0.0000000000 9.8786000000e-05 -1.9751000000 0.0470000000 53996.11 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
406 1.6662776342e-04 0.6486135994 -0.0703891433 53996.9335940000 0.0000000000 2.0719000000e-04 0.8133000000 -0.0850000000 53996.93 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
407 1.5022249561e-04 -0.2677369218 0.1393443373 53993.7617190000 0.0000000000 1.9436000000e-04 -0.2620000000 0.1514000000 53993.76 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
408 4.4391619012e-04 -0.0303419349 0.1095391803 54002.5039060000 0.0000000000 5.9812000000e-04 -0.0617000000 0.0707000000 54002.50 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
409 1.7740273158e-04 1.9552413205 -0.0120254840 53979.8085940000 0.0000000000 2.3574000000e-04 1.6802000000 0.0272000000 53979.81 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
410 5.2408416423e-04 -0.4782371385 0.0163540766 54000.0351560000 0.0000000000 6.7242000000e-04 -0.3870000000 0.0000000000 54000.04 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
411 6.6611695155e-05 0.8518684191 0.0242099903 53990.6367190000 0.0000000000 8.2449000000e-05 0.8298000000 0.0275000000 53990.64 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
412 4.3952507167e-04 1.3027518956 -0.0615933124 53988.6171880000 0.0000000000 5.4676000000e-04 1.3814000000 -0.0185000000 53988.62 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
413 2.8204869301e-04 0.1975087335 -0.0353178063 54003.1523440000 0.0000000000 3.8484000000e-04 -0.0298000000 -0.0730000000 54003.15 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
414 1.4234437912e-04 0.9447609574 -0.1144992590 53986.5625000000 0.0000000000 1.8112000000e-04 0.9514000000 -0.1445000000 53986.56 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
415 3.2046094976e-04 -1.3888307823 -0.0479192610 54003.6640620000 0.0000000000 4.1087000000e-04 -1.3879000000 -0.0483000000 54003.66 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
416 7.8266454727e-05 0.2419463566 0.0180781523 54001.3007810000 0.0000000000 1.0088000000e-04 0.3579000000 0.0010000000 54001.30 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
417 9.1066377118e-05 0.6963893269 -0.0008338764 54003.9023440000 0.0000000000 1.1639000000e-04 1.1370000000 0.0091000000 54003.90 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
418 1.2218834231e-04 1.1680734592 0.0520287888 54006.5625000000 0.0000000000 1.5643000000e-04 1.0303000000 0.0889000000 54006.56 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
420 5.6244633099e-05 -0.7958148786 -0.0538487280 54002.4921880000 0.0000000000 7.5804000000e-05 -1.4040000000 -0.0862000000 54002.49 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
421 6.2389634354e-05 -0.5958936578 0.0029427659 53998.7460940000 0.0000000000 8.0404000000e-05 -0.3982000000 -0.0296000000 53998.75 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
422 8.7943605905e-05 0.8457773610 -0.0752967884 54004.8554690000 0.0000000000 1.1259000000e-04 1.0712000000 -0.0165000000 54004.86 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
423 3.9830190857e-04 0.7123846582 -0.1328199734 53633.3007810000 0.0000000000 4.8156000000e-04 0.8033000000 -0.1019000000 53633.30 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
424 7.7783860557e-05 1.4399619974 0.0241295125 54004.9687500000 0.0000000000 1.0339000000e-04 1.2694000000 -0.0178000000 54004.97 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
425 1.8249975681e-04 1.1522891628 0.0307992497 54015.7773440000 0.0000000000 2.4365000000e-04 1.2343000000 -0.0211000000 54015.78 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
426 1.8305606513e-04 0.8741123857 0.0190840112 54010.4023440000 0.0000000000 2.4926000000e-04 0.8009000000 -0.0207000000 54010.40 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
427 6.3583235114e-05 0.7094671605 -0.0631430625 54011.4765620000 0.0000000000 8.1423000000e-05 0.5822000000 -0.0553000000 54011.48 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
428 1.7028524616e-04 1.0278480986 0.1336509790 54013.6953120000 0.0000000000 2.0933000000e-04 0.6953000000 0.1730000000 54013.70 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
